id,wei,KV1,KV2,KV3,KV4,KV5,KV6,KV7,KV8,KV9,KV10,KV11,KV12,KV13,KV14,KV15,KV16,KV17,KV18,KV19,KV20,KV21,KV22,KV23,KV24,KV25,KV26,KV27,KV28,KV29,KV30,KV31,KV32,KV33,KV34,KV35,KV36,KV37,KV38,KV39,KV40,KV41,KV42,KV43,KV44,KV45,KV46,KV47,KV48,KV49,KV50,KV51,KV52,none
44,1,1.394888,2.69941952,1.60215954,2.17934394,0.20238457,0.56489728,2.78268162,2.54010938,1.81851615,-0.24284582,0.71227847,-0.33480457,0.6535245,2.38157901,1.60394911,3.18741283,1.60665432,2.05514114,2.73988216,1.45188449,1.95418134,2.85005758,3.35985639,2.02615396,2.73614531,2.73356165,1.99599196,0.71769727,1.68296693,2.1278746,3.08271147,2.83638716,2.21646828,2.17741858,3.29533537,3.37358425,2.83244249,2.64621718,3.26969344,2.29484709,3.16714234,3.61700763,3.57923705,3.97266326,3.25927234,3.65413126,3.22719509,3.01285805,2.90334344,2.18735285,0.1193673,0,0
45,1,3.19132955,3.07188709,2.96614442,2.65803038,3.19036651,3.09171634,3.58610325,3.10891008,4.1292391,2.31575182,3.74769135,3.03351006,3.78605758,2.22538081,3.36313196,2.76468674,2.74330223,2.12019343,1.93809677,1.78637849,1.57667886,2.44503587,2.45784304,2.50046426,2.46413085,2.21562349,2.58602509,1.74298743,2.35868058,3.08343864,4.02017503,3.82753067,3.60990415,2.8771712,3.31257251,3.39191761,3.49826145,3.31050158,2.67678772,3.4812631,2.57090565,2.87889045,2.15854959,2.65413261,2.21648464,2.77020446,2.80944728,2.91829434,2.11037367,2.46700463,2.5907313,0,0
47,1,2.40891293,2.49522967,2.57590935,2.79624525,3.82978276,4.46404279,2.9893822,3.17319814,4.23412859,2.53741966,3.43679843,4.01016886,3.34084477,2.22582615,3.28393314,2.53056403,2.92104,2.4308901,2.32330689,2.40479386,2.08806958,2.24612077,2.75132891,2.44089146,3.05357719,2.3611105,2.8129489,1.60170894,2.26886267,1.70196953,2.62334961,3.07661879,2.80675046,2.33023833,2.19046675,2.2841569,2.37927592,3.20568405,3.65645977,3.66905599,0.92703563,2.69623625,2.41125659,0.8983788,2.02009666,2.50393335,1.83137763,1.74083239,2.09742096,1.61745996,2.92506304,0,0
51,1,1.84456381,3.28705456,1.2557528,2.08395729,0.28364195,1.34769903,1.92593777,2.6258052,2.62465701,0.57325123,0.89859903,0.43727253,0.66248488,2.93672577,1.84966944,2.53034972,1.92034328,2.82623648,3.37011169,2.72282455,3.85385818,3.29429948,4.4266892,2.39273513,2.3115747,2.83763872,2.958663,-0.39185247,2.31563758,0.18991123,1.52870989,1.57314623,1.40316335,1.96047529,1.87047007,2.50647617,1.02103327,3.56632118,3.37514568,1.72365474,1.8195306,3.81498652,3.25869266,2.9371614,2.63578474,3.45760031,2.19979189,2.03498513,2.27316463,1.19142292,0.0130171,0,0
54,1,2.67425106,2.69070129,2.41898845,2.68501679,2.17628891,2.8681939,3.68009681,3.09252937,2.9068658,1.50346942,2.40817267,2.18850568,2.65171643,2.59092939,3.45700557,2.65003998,2.61920049,2.46527879,2.70314117,2.02592702,2.6960688,2.4608022,3.39801758,2.32249338,2.73208592,2.42372942,2.48686469,1.25853329,2.04495625,2.77981344,2.83911733,3.31536681,2.7610195,2.65991565,3.05745457,2.79037258,2.60552004,2.88920051,3.23194424,2.43756266,2.47487638,2.8385674,2.87787636,2.61337539,2.8764574,3.16236279,2.61999149,2.7982702,2.1004022,2.27112851,2.02395812,0,0
55,1,0.35653957,1.94337232,0.23227356,1.05494324,-1.4416859,-0.10077527,0.0371142,1.28479087,-0.0517324,-1.23021703,-0.9708525,-1.63594726,-1.16955272,2.31535435,0.95033679,1.32655197,0.64688563,2.88297047,3.4077498,1.7877461,3.31933865,3.00825646,3.48052783,1.0469495,1.15941483,1.93654475,1.69907665,-1.38806977,0.43909582,-1.09697298,-0.78270406,0.2506542,-0.36445458,0.82218635,0.67077987,1.48362664,-0.37640675,2.48219904,2.71458424,-0.19624872,0.86905363,2.03977456,2.29532458,2.40962698,1.87182179,2.05435275,1.01452057,0.71222346,1.19224394,-0.17816167,-1.41380428,0,0
56,1,2.37631972,2.43180029,1.71289193,1.74738544,0.49071498,1.31510269,2.35191221,2.46985514,1.13997841,0.03313124,0.61697076,0.14153684,0.84626254,2.88614449,1.78738399,2.86113249,1.42932606,2.65163397,2.72616534,1.64526915,2.22507321,2.59468268,3.10235885,1.57326284,1.80848359,2.31934683,1.96315398,-0.31238726,1.33735754,0.48133146,1.35320672,1.59028647,1.40692113,1.86538315,1.82704139,1.37263836,1.34596064,2.21467169,2.21285172,1.26224259,1.60744712,2.05212382,2.51757163,1.9259026,2.21948347,2.46962298,1.9788324,1.96998375,2.17189423,1.21549525,0.31216542,0,0
57,1,2.999313,3.55517628,3.63286114,3.48998202,3.23522214,3.84056301,4.07292603,4.02939162,4.23932466,2.37414196,3.50949269,2.67911547,3.28804617,3.50465723,3.66236708,4.15906723,3.22516114,4.25135428,4.46035628,3.40377897,4.13935119,3.26261332,4.55652574,3.50352777,3.90788123,3.48772445,3.84929472,1.99141494,3.16376395,3.39760472,4.37590593,4.2922156,3.63609428,3.37701798,3.83552739,4.48536464,3.51640549,4.12798519,4.47437145,3.7901735,3.80556143,4.82741867,3.92229523,3.98032784,3.682747,4.19944577,3.74472686,4.62143545,3.28614934,3.33418657,2.59998837,0,0
58,1,0.10549644,0.31319618,-0.16071444,0.71197035,-0.25541021,-0.5208578,0.4528368,0.09434793,-0.10647515,-0.95274555,-0.31935346,-0.51746583,-0.19218942,-0.03931384,-0.05269311,0.46110211,-0.27426116,-0.40858438,-0.36348488,-1.30803866,-1.4738454,0.29078078,-0.34964221,-0.84559007,-0.86261209,0.31379955,-0.26757927,0.20951068,-0.37190534,0.22917218,-0.10079321,0.43467529,0.02115032,0.09489693,0.59690668,-0.13657272,1.5104585,-0.71742255,0.12195122,0.02917198,-0.95522697,0.33044639,-0.22748378,0.06027714,-0.16166957,0.14215049,0.01421877,-0.24532277,-0.23622688,-0.68536267,-0.02845493,0,0
62,1,3.59441019,3.9790401,3.38478733,3.08535964,3.26505316,4.26903256,3.42993154,3.93669297,4.83340414,2.75884344,3.48761409,3.29898492,2.93804705,3.67454506,3.62313236,3.63377559,3.54653144,4.18567485,4.12282837,3.23479935,3.33060817,4.38276176,5.24960185,3.97376726,4.37695842,3.67531538,4.34787726,1.16877172,3.88047939,2.53278844,3.30337182,3.33175992,3.33927605,3.30788174,2.95682336,4.21913711,2.59118655,5.48444408,4.46082217,3.58473756,3.02687226,4.73121019,4.37892527,3.7441362,3.32705841,4.57510763,3.24125149,3.26510238,3.31979638,2.96284176,2.7746573,0,0
64,1,3.30446336,3.23218861,3.31144694,3.12376352,3.97919757,4.97644632,4.47034693,4.03084084,4.89746154,3.57284919,4.14998014,4.54682002,3.68635355,3.47628619,4.25336063,3.79706965,3.37488942,3.20988142,3.35865917,3.47943053,3.91571329,2.97307809,4.07190747,4.16685437,3.50229199,3.20743616,3.76852254,1.91713442,3.59869654,3.2112455,3.73515205,3.79913812,3.73622541,3.41710521,3.16655332,3.84305817,2.93139107,4.25675382,4.56549175,4.14782967,3.05478422,3.98942248,3.5488348,2.67373809,3.30787312,3.5448593,3.0950251,3.21005794,2.80708651,3.21402451,3.83639707,0,0
67,1,1.66102819,2.37132735,1.87303341,2.4975785,1.16425375,1.74523392,3.03294623,2.46029812,2.31600952,0.81145883,2.11010359,1.44730133,1.94550696,2.20077595,2.67900778,2.10764077,1.60050989,1.91531769,2.22209641,1.41543863,2.14954336,2.19153853,2.35133231,1.89324986,1.65097049,1.78354552,1.81174173,1.61358422,1.3951504,2.49549479,2.77761768,3.54087506,2.78315346,2.19820421,2.93101154,2.64808777,2.52262451,2.20018865,2.8432732,1.88636452,2.6359108,2.39712951,2.7788898,2.27848868,2.22633341,2.94149214,2.3496204,2.57485644,1.44508252,2.21313516,1.26627172,0,0
70,1,2.61200766,4.14680071,3.462546,3.03209322,3.0292635,3.44557416,4.37293773,4.37474601,5.22287075,1.66370561,3.34999192,2.9562315,2.80644605,3.24626703,3.98047958,4.20150768,3.75143786,2.70968063,2.71357691,2.21519069,1.9448703,3.35371582,4.39707022,3.75695573,3.25658319,2.90069154,3.81950144,0.28347345,3.59337458,3.10196857,4.1717804,4.06492473,4.19282641,3.50563515,4.23564644,4.54996513,3.2931066,5.4258207,5.02542322,3.7861184,3.25497935,4.90108762,3.86952212,3.42716989,2.45429518,4.89620706,3.17671233,3.72467598,2.47350037,2.79734431,2.40339503,0,0
76,1,2.84682191,3.26364501,2.90467836,3.51313434,2.82894253,3.41339336,4.15286892,3.82347464,3.3895167,2.03559968,2.95297237,2.36956975,3.33926512,3.24114772,3.15060219,3.72747078,2.81866173,3.66641456,3.77026469,2.79486696,2.99358927,3.15814059,4.14661153,3.19429777,3.6366307,3.38129397,3.0978312,1.85907065,3.226449,3.73925227,4.11071467,4.30682114,3.63263071,3.5037525,3.65856501,4.27732407,3.86082804,3.63723591,3.53825219,3.1146302,4.10109898,3.98220822,4.06487786,4.11771376,3.69773447,4.1112688,4.21329321,4.1084024,3.62652062,3.6152316,2.90087997,0,0
81,1,2.44031139,3.89119091,3.35410511,3.61806964,2.58281547,2.72563094,5.33957916,3.86601143,4.03151434,1.34755871,3.17243319,1.85317645,3.1959922,3.31581384,3.6204505,4.91059422,3.09340271,3.23672235,3.34173631,2.10250526,2.29007091,3.2605461,4.21358969,3.3922957,3.16949507,2.37082542,3.04319922,1.55866894,3.12438546,4.53624677,5.74796472,5.90332569,4.33112424,3.93680265,5.83019417,5.45631816,4.97052992,4.32785772,4.5996034,3.58990686,5.2062052,5.70790379,5.03548142,5.2819457,3.56078883,5.69750076,4.73107666,5.46098925,3.62910676,4.46796535,1.922996,0,0
82,1,3.60156232,3.43545148,3.44883553,3.61756338,4.15082894,4.90658187,4.24434357,4.06197484,4.80254957,3.44384306,4.21499921,4.14942226,3.90316606,4.2927359,3.81735309,3.85675378,3.59084234,3.93439305,4.02659466,3.39502244,3.39953853,3.49804691,4.59990513,3.65581841,4.00723948,3.50537861,3.7765866,1.99608349,3.58781752,3.89050853,4.5468822,4.35772691,4.33534328,3.47924935,3.30221153,4.16797231,3.3122123,4.83140675,4.11112811,3.72777624,3.70031577,3.95486454,4.0808933,3.38804985,3.83443565,4.00287002,3.70482085,3.71026204,3.65402985,3.85389058,3.75853256,0,0
83,1,2.80942082,2.67458771,2.21834915,3.44896918,1.94555486,2.32410675,3.48961738,3.26946087,2.39129247,1.17994065,2.2133811,1.70582088,2.54100223,2.88381823,2.7114275,2.78081742,1.94373646,3.48504763,3.96072959,2.35433654,2.81332039,2.70260967,2.7571236,2.17262685,2.44785315,2.04599346,1.94090328,1.53619325,2.24251633,3.23236606,3.94750435,3.91138871,2.50101141,2.45706909,3.66929521,2.83751342,3.91176096,2.47760834,2.23917352,1.99192817,3.22534173,2.80961719,2.60440351,3.14523596,3.03356687,3.2650203,3.74241224,3.72580184,2.48786143,3.00571692,1.76910582,0,0
87,1,1.99545393,3.05235434,2.64971412,2.60261427,1.96842524,2.42719443,3.66530091,3.36122014,3.58079432,1.14657697,2.54359193,1.53908608,2.67541319,2.64363285,3.23524771,3.32453148,2.47742116,2.37847154,2.61954034,1.74950143,1.93041029,2.79500801,3.58378423,2.43894184,2.53668808,2.67390145,3.08696559,0.3268733,2.24090072,3.21739076,3.32589771,3.76814289,3.18084627,2.71935567,3.3296297,3.53368784,3.24443079,3.68700224,3.98979324,2.85859721,3.0108399,4.15204064,3.47765929,3.48901208,2.34164667,3.62816583,2.895924,3.41134253,1.61234393,2.35444477,1.201817,0,0
89,1,0.7940337,1.72547198,0.46041048,1.12792076,-0.60141155,-0.66275693,1.24062126,1.16008618,0.41485713,-0.85379276,-0.13144205,-0.61946629,0.60136885,0.74523761,0.94938584,2.04482658,-0.10288714,1.04401675,1.07321064,-0.23674529,0.57409926,1.82043442,1.65292426,0.81126944,-0.04173316,1.6029892,0.75671594,0.78936893,0.27126387,0.35667327,1.00086311,1.3958326,0.61904072,1.22863965,1.93047968,1.23007767,1.60372852,0.72884101,1.00540852,0.59993311,1.203607,1.59224014,1.03034667,2.41619805,1.33037302,1.84680242,1.6581448,1.29171563,1.12607807,0.72605166,-0.61216252,0,0
